experiment_id,video_id,model_name,technique_name,rag_enabled,pred_name_original,pred_name_en,is_hallucinated
7,C8f7YMXS75g,Llama 3.2 3B Instruct,zero-shot,false,கலன ஖ழ,Tepung Bestari Original,1
7,C8f7YMXS75g,Llama 3.2 3B Instruct,zero-shot,false,கலன ஖ழ,Tepung Jagung,1
7,C8f7YMXS75g,Llama 3.2 3B Instruct,zero-shot,false,பி ஖ழ,Minyak,1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,硁市,Chicken,0
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,辝竖,Yogurt,1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,ଁ合,Garam Masala,1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,合貞,Cumin,1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,貞合,Cayenne Pepper,1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,合貞合,Black Pepper,0
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,克公,Bread Flour,1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,日稿,Black Pepper,0
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,日貞,Turmeric Powder,0
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,貞合,Bamboo Shoots,1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,寚稿,Bamboo Shoots,1
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,擷去,butter,0
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,第去,brown sugar,0
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,八去,white sugar,1
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,方区,eggs,1
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,方小,all-purpose flour,1
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,卌县,oat flour,1
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,博县,baking soda,0
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,理区,dark chocolate chips,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u76f8\u5c45,Pulut kuning,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u540d\u52a0,Santan kotak,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u738b\u5929,Beras pulut,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u6771,Air,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u8d44\u5c45,Garam,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u5c7f\u5929,Serbuk kunyit,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u7406\u5c40,Minyak masak,1
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,\u6778\u5c40,Daun pandan,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,科は新渠,Banana,0
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,使发のるし,All-purpose flour,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,王でた,Vegetable oil,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,クァる,Sugar,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,享たる,Egg,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,无にん,Cocoa powder,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,んにァる,Sugar,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,六のる,Vegetable oil,1
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,ァん,Cocoa butter,1
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Kentang,Potatoes,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Bawang putih,Garlic,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Daging kisar,Ground beef,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Sos bolognese pasta,Bolognese pasta sauce,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Kentang,Potatoes,0
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Parsley,Parsley,1
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,Cheese mozzarella,Mozzarella cheese,1
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,Air,Water,0
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,Serbuk koko,Cocoa powder,0
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,Susu sejat,Fresh milk,0
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,Marjerin,Margarine,0
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,Gula,Sugar,0
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,Susu pekat,Condensed milk,0
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,Agar-agar,Agar agar,0
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,஡ிபக,Chicken,1
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,பகிிகைக,Peppercorns,1
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,கபினை,Ginger,1
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,டபை,Soy Sauce,1
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,ிபைக,Garlic Powder,0
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,கினை,Black Pepper,1
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,கபைக,Honey,0
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,ிக,Butter,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Beras Basmati,Basmati Rice,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Minyak Sapi,Sesame Oil,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Kacang Gajus,Peanuts,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Kismis,Dried Fruits,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Kismis,Dried Fruits,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Rempah,Spice,1
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Daun Salam,Basil Leaf,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Daun Pandan,Pandan Leaf,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Halia,Ginger,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Sos Cili,Chili Sauce,0
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,Kordial Sunquick,SunQuick Kordial,1
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,butter,Butter,1
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,telur,Egg,0
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,tepung gandum,Wheat Flour,0
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,cream cheese,Cream Cheese,0
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,whipping cream,Whipped Cream,0
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,gula icing,Icing Sugar,0
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,esen vanila,Vanilla Extract,0
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,air fryer,air fryer,1
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,oven,oven,1
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,white chocolate,White Chocolate,0
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,milk compound chocolate,Milk Compound Chocolate,0
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,目京粚,Potato,1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,代京粚,Tofu,1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,前介粚,Tempe,1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,匾勑,Olive oil,1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,䶽发,Calorie Absorb Kitchen Towel,1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,斨单,Hirisan bawang merah,1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,斨勓,Hirisan bawang putih,1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,兕囙,Hirisan halia,1
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,Puff Pastry,Puff Pastry,0
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,Sauce Tomato,Tomato Sauce,1
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,Sauce Chilli,Chili Sauce,1
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,Salami,Chicken Salami,1
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,Perfect Italiano Mozzarella Cheese,Mozzarella Cheese,0
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,\u0baa\u0bb1 \u0b95\u0bac,Milk,1
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,\u0bae\u0bbf \u0b95\u0bac,Cheese Cheddar,1
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,\u0baa\u0bbf \u0b95\u0bac,Cheese Mozzarella,1
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,\u0baa\u0bbf,Parsley,1
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,\u0b90\u0bb6 \u0baa\u0bbf,Salt and Pepper,1
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Dark compound coklat,Dark compound chocolate,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Butter,Butter,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Gula,Sugar,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Gula,Sugar,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Tepung gandum,All-purpose flour,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Serbuk koko,Cocoa powder,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Telur,Egg,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Telur,Egg,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Cream cheese,Cream cheese,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Whipping cream,Whipping cream,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Gula,Sugar,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Gula,Sugar,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Esen vanila,Vanilla extract,0
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,0
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,butter,Butter,1
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,gula icing,Icing sugar,0
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,esan vanila,Vanilla essence,0
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,kopi,Coffee,1
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,bancuhan kopi,Coffee grounds,1
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,Tosterm,Tosterm bread,1
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,gula,Sugar,1
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,telur ayam,Egg,0
25,C6I4GVsLgnf,Llama 3.2 3B Instruct,zero-shot,false,擵覄,Butter or Margarine,1
25,C6I4GVsLgnf,Llama 3.2 3B Instruct,zero-shot,false,平,Bread,0
25,C6I4GVsLgnf,Llama 3.2 3B Instruct,zero-shot,false,合合,Granulated Sugar,1
25,C6I4GVsLgnf,Llama 3.2 3B Instruct,zero-shot,false,盨粊,Cheese,1
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,஡ின ப஽஬,Sugar,0
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,ி஽ ஡஽஬ ஂை,Caramelized Sugar,1
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,ி பைு்,Full Cream Milk,0
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,க ழுி,Cheese,1
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,ೕ ிஔுஸ,Egg,1
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,஡ ஽ ைகி,Vanilla Essence,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,mushroom soup,mushroom soup,1
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,roti,bread,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,butter,butter,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,butter,butter,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,bawang holland,bawang holland,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,bawang putih,bawang putih,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,cendawan shiitake,cendawan shiitake,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,tepun,tepun,1
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,tepung gandum,tepung gandum,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,susu full cream,susu full cream,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,lada hitam,lada hitam,0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,cubed pati ayam,cubed pati ayam,1
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,daun bawang,daun bawang,1
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,daun ketumbar,daun ketumbar,1
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,susu cair,susu cair,1
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,Kuning telur,Egg yolks,1
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,Telur ayam,Egg,1
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,Susu full cream,Full cream milk,0
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,Whipping cream,Whipped cream,0
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,Esen vanila,Vanilla extract,0
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,Gula pasir,Sugar,0
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,Puff pastry,Puff pastry,0
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,ன⫑二,Chicken breast,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,居丈,Eggplant,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,ஐ二,Onion,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,天勑,Garlic,0
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,厹介,Cinnamon,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,卋丬,Cassia,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,紂仲,Black pepper,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,一务,Sugar,0
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,匿一,Salt,0
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,匿哉,Cassia powder,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,公区,Kecap manis,1
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,北云,Vegetable oil,1
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,Roti Arab,Arabian Bread,0
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,Tomato Sos,Tomato Sauce,0
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,Cheese Mozzarella,Mozzarella Cheese,0
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,Sosej,Worcestershire Sauce,0
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,Garlic Powder,Garlic Powder,0
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,Italian Herb,Italian Herb,0
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,Mayonis,Mayonnaise,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Serai,Serasi,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Bawang Merah,Red Onion,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Halia,Ginger,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Cili Padi,Thai Chili Peppers,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Daun Kari,Curry Leaves,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Gulai,Curry,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Ayam,Chicken,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Kentang,Potato,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Santan,Coconut Milk,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Santan,Coconut Milk,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Santan,Coconut Milk,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Telur Ayam,Chicken Egg,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Gula Merah,Palm Sugar,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih Bumbu,Garlic Paste,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Lada,Pepper,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Sesuai,Sesame Oil,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih Bumbu Kacang,Garlic Paste Peanut,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih Bumbu Kacang,Garlic Paste Peanut,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Kecap Manis,Sweet Soy Sauce,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih Bumbu,Garlic Paste,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Lada,Pepper,1
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih Bumbu,Garlic Paste,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u76e5\u6751,Chicken,0
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u5cd1\u738b,Halia,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u738b\u524d,Garlic,0
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u738b\u524d,Garlic,0
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u6e28\u738b,Daun bawang,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u74e8\u524d,Beras Saji Aroma,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u65e5\u624d,Cili kering,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u8cdd\u524d,Butter,0
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u6259\u524d,Sambal cili,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u6242\u524d,Kicap cair,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u6242\u524d,Ayam asin,1
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,\u6259\u524d,Minyak bijan,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,एिा् आगम,Garlic,0
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,ा् निल,Onion,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,कन ा्,Chicken,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,एाभ ॄ,Soy Sauce,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,ऄ् य ा्,Oyster Sauce,0
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,मि ल्,Palm Sugar,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,मि ॄ,Vegetable Oil,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,मि ्,Salt,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,ा् कन,Carrot,0
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,ऄ् म,Sawing Celery,1
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,ऄ् कन,Egg,1
34,DGw2dWCzWyw,Llama 3.2 3B Instruct,zero-shot,false,\u732b\u4e0d\u4f60\u516d\u56db,Thai Green Tea Powder,0
34,DGw2dWCzWyw,Llama 3.2 3B Instruct,zero-shot,false,\u4e00\u5929\u5927\u5c3a\u8fc7,Water,1
